,City,Temperature,Humidity,Longitude,Latitude,Cloudiness,Country,Windspeed,Date
0,saskylakh,266.87,97,114.08,71.92,98,RU,3.25,1603220266
1,ushuaia,280.15,56,-68.3,-54.8,40,AR,8.7,1603220266
2,longyearbyen,268.15,79,15.64,78.22,2,SJ,2.6,1603220266
3,mahebourg,297.15,73,57.7,-20.41,20,MU,4.6,1603220106
4,nome,274.15,80,-165.41,64.5,20,US,2.45,1603220266
5,husavik,272.15,80,-17.34,66.04,99,IS,1.0,1603220266
6,kavieng,300.45,80,150.8,-2.57,100,PG,5.34,1603220266
7,leh,276.02,49,77.58,34.17,0,IN,0.76,1603220267
8,dikson,267.29,96,80.55,73.51,100,RU,2.4,1603220267
9,alappuzha,299.16,84,76.33,9.49,100,IN,3.17,1603220267
10,sorong,298.08,88,131.25,-0.88,51,ID,3.57,1603220267
11,matara,298.72,88,80.54,5.95,1,LK,4.08,1603220267
12,inta,267.39,97,60.17,66.03,96,RU,1.42,1603220267
13,pandan,299.97,82,124.17,14.05,100,PH,5.65,1603220267
14,carnarvon,293.15,77,113.63,-24.87,40,AU,8.7,1603220267
15,seoul,283.15,87,126.98,37.57,75,KR,1.36,1603220131
16,tuktoyaktuk,268.15,85,-133.04,69.45,90,CA,7.2,1603220267
17,rikitea,296.11,79,-134.97,-23.12,0,PF,6.55,1603220047
18,port alfred,289.07,68,26.89,-33.59,0,ZA,7.09,1603220268
19,eureka,289.82,82,-124.16,40.8,1,US,2.6,1603220268
20,albany,292.04,76,-73.97,42.6,100,US,0.25,1603220268
21,hobart,285.15,81,147.33,-42.88,75,AU,1.5,1603219980
22,kodiak,279.15,56,-152.41,57.79,1,US,4.1,1603220084
23,cape town,287.59,67,18.42,-33.93,0,ZA,6.2,1603219917
24,ponta do sol,295.15,53,-17.1,32.67,20,PT,1.0,1603220268
25,hermanus,286.48,73,19.23,-34.42,0,ZA,1.79,1603220269
26,barrow,269.15,92,-156.79,71.29,75,US,3.1,1603220269
27,narsaq,275.15,93,-46.05,60.92,75,GL,1.0,1603220269
28,pandamatenga,299.41,17,25.63,-18.53,0,BW,2.99,1603220269
29,cherskiy,266.18,96,161.3,68.75,90,RU,2.48,1603220269
30,yellowknife,270.93,73,-114.35,62.46,75,CA,1.5,1603220269
31,provideniya,277.79,95,-173.3,64.38,100,RU,6.6,1603220269
32,port hedland,295.15,94,118.57,-20.32,68,AU,3.6,1603220269
33,nikolskoye,275.37,80,30.79,59.7,75,RU,2.0,1603220270
